feature name,raster name,raster group,band description,year,period,feature_area_ha,valid_pixel_area_ha,min,max,std,mean,p1,p5,p10,p25,p75,p90,p95,p99
IWT and Darwin innovation project,gpw_short.veg.height_egbt_m_30m_s_20140101_20141231_go_epsg.4326_v1,unknown,band_1,2014,01-01 -- 12-31,96800.3271,96798.74986,0,94,6.121509813,18.95495908,12,15,15,17,20,22,24,55
FLR - Amboseli,gpw_short.veg.height_egbt_m_30m_s_20140101_20141231_go_epsg.4326_v1,unknown,band_1,2014,01-01 -- 12-31,25138.82358,25139.26557,1,100,7.173678967,21.5092429,14,15,16,18,23,26,30,59
Siana Dispersal Area - More Space 4 Wildlife,gpw_short.veg.height_egbt_m_30m_s_20140101_20141231_go_epsg.4326_v1,unknown,band_1,2014,01-01 -- 12-31,64548.62886,64549.94275,6,80,6.046090255,20.22047696,14,15,15,17,21,27,32,46
OTTO - Support to Nasaru Conservancy,gpw_short.veg.height_egbt_m_30m_s_20140101_20141231_go_epsg.4326_v1,unknown,band_1,2014,01-01 -- 12-31,69697.25079,69696.43917,8,61,2.30266039,18.16193605,14,15,15,17,20,21,22,24
Land for Life,gpw_short.veg.height_egbt_m_30m_s_20140101_20141231_go_epsg.4326_v1,unknown,band_1,2014,01-01 -- 12-31,886805.3359,878946.3497,0,111,10.90784985,21.28199345,9,12,14,16,22,28,44,71
Pachyderm,gpw_short.veg.height_egbt_m_30m_s_20140101_20141231_go_epsg.4326_v1,unknown,band_1,2014,01-01 -- 12-31,807810.2672,807400.8194,0,112,9.357141805,20.55258516,13,14,15,16,20,28,37,70
MRC/MWCP,gpw_short.veg.height_egbt_m_30m_s_20140101_20141231_go_epsg.4326_v1,unknown,band_1,2014,01-01 -- 12-31,428082.6303,401870.5066,1,95,6.203698307,21.46670369,14,16,16,18,23,29,34,45
Harmony in Habitat (HIH) - Tsavo,gpw_short.veg.height_egbt_m_30m_s_20140101_20141231_go_epsg.4326_v1,unknown,band_1,2014,01-01 -- 12-31,660185.7824,660186.3646,0,102,3.15909469,17.17213892,13,14,15,16,18,19,20,29
"BMZ II (Olgulului GR, Kimana GR, Kimana - Nolturesh",gpw_short.veg.height_egbt_m_30m_s_20140101_20141231_go_epsg.4326_v1,unknown,band_1,2014,01-01 -- 12-31,308640.3885,308639.8226,1,100,3.955978064,19.48659139,12,14,15,17,21,23,25,31
Harmony in Habitat (HIH) - Mau,gpw_short.veg.height_egbt_m_30m_s_20140101_20141231_go_epsg.4326_v1,unknown,band_1,2014,01-01 -- 12-31,168550.7956,168540.1684,3,92,21.09142732,37.25210656,11,13,14,18,60,68,71,76
BMZ II (TZ),gpw_short.veg.height_egbt_m_30m_s_20140101_20141231_go_epsg.4326_v1,unknown,band_1,2014,01-01 -- 12-31,254278.8993,252898.3502,1,115,15.69407276,26.41304618,13,14,15,17,29,55,65,74
REDAA,gpw_short.veg.height_egbt_m_30m_s_20140101_20141231_go_epsg.4326_v1,unknown,band_1,2014,01-01 -- 12-31,99249.12992,99247.7451,0,41,3.254496701,18.39680031,9,13,14,17,20,22,23,27
IWT and Darwin innovation project,gpw_nat.semi.grassland_rf.savgol_p_30m_20040101_20041231_go_epsg.4326_v1,unknown,band_1,2004,01-01 -- 12-31,96800.3271,95964.00694,0,88,12.56015699,48.80923996,13,27,33,41,57,65,69,73
FLR - Amboseli,gpw_nat.semi.grassland_rf.savgol_p_30m_20040101_20041231_go_epsg.4326_v1,unknown,band_1,2004,01-01 -- 12-31,25138.82358,24453.17423,0,58,9.054384499,27.26550633,9,14,16,20,34,40,42,46
Siana Dispersal Area - More Space 4 Wildlife,gpw_nat.semi.grassland_rf.savgol_p_30m_20040101_20041231_go_epsg.4326_v1,unknown,band_1,2004,01-01 -- 12-31,64548.62886,64078.13422,0,71,11.97068323,38.4147414,9,17,21,30,47,53,56,61
OTTO - Support to Nasaru Conservancy,gpw_nat.semi.grassland_rf.savgol_p_30m_20040101_20041231_go_epsg.4326_v1,unknown,band_1,2004,01-01 -- 12-31,69697.25079,69570.44489,2,89,16.81613286,38.96342909,12,15,17,23,52,62,67,74
Land for Life,gpw_nat.semi.grassland_rf.savgol_p_30m_20040101_20041231_go_epsg.4326_v1,unknown,band_1,2004,01-01 -- 12-31,886805.3359,838901.7978,0,90,14.68432249,47.33585595,9,22,29,38,58,65,70,78
Pachyderm,gpw_nat.semi.grassland_rf.savgol_p_30m_20040101_20041231_go_epsg.4326_v1,unknown,band_1,2004,01-01 -- 12-31,807810.2672,784352.5145,0,72,10.30125465,28.943612,7,13,16,22,36,43,47,54
MRC/MWCP,gpw_nat.semi.grassland_rf.savgol_p_30m_20040101_20041231_go_epsg.4326_v1,unknown,band_1,2004,01-01 -- 12-31,428082.6303,392445.3438,0,57,8.876604317,23.53111473,5,8,11,17,30,35,37,42
Harmony in Habitat (HIH) - Tsavo,gpw_nat.semi.grassland_rf.savgol_p_30m_20040101_20041231_go_epsg.4326_v1,unknown,band_1,2004,01-01 -- 12-31,660185.7824,656951.2601,0,90,12.40258662,41.50890581,15,20,24,33,50,57,61,70
"BMZ II (Olgulului GR, Kimana GR, Kimana - Nolturesh",gpw_nat.semi.grassland_rf.savgol_p_30m_20040101_20041231_go_epsg.4326_v1,unknown,band_1,2004,01-01 -- 12-31,308640.3885,307108.4195,0,86,14.25473059,47.13155457,15,22,28,37,59,65,68,74
Harmony in Habitat (HIH) - Mau,gpw_nat.semi.grassland_rf.savgol_p_30m_20040101_20041231_go_epsg.4326_v1,unknown,band_1,2004,01-01 -- 12-31,168550.7956,107679.7465,0,54,10.54084535,13.65521612,0,1,2,4,21,30,33,39
BMZ II (TZ),gpw_nat.semi.grassland_rf.savgol_p_30m_20040101_20041231_go_epsg.4326_v1,unknown,band_1,2004,01-01 -- 12-31,254278.8993,222091.1866,0,91,12.90270179,24.95019671,3,7,11,17,30,39,50,71
REDAA,gpw_nat.semi.grassland_rf.savgol_p_30m_20040101_20041231_go_epsg.4326_v1,unknown,band_1,2004,01-01 -- 12-31,99249.12992,98358.40677,6,88,8.262036715,58.42124896,39,44,47,53,64,69,72,76
IWT and Darwin innovation project,gpw_cultiv.grassland_rf.savgol_p_30m_20040101_20041231_go_epsg.4326_v1,unknown,band_1,2004,01-01 -- 12-31,96800.3271,95964.00694,0,48,4.447413179,17.46553591,7,11,12,15,20,23,25,31
FLR - Amboseli,gpw_cultiv.grassland_rf.savgol_p_30m_20040101_20041231_go_epsg.4326_v1,unknown,band_1,2004,01-01 -- 12-31,25138.82358,24453.17423,0,40,3.993793572,18.89074318,4,13,14,17,21,23,25,27
Siana Dispersal Area - More Space 4 Wildlife,gpw_cultiv.grassland_rf.savgol_p_30m_20040101_20041231_go_epsg.4326_v1,unknown,band_1,2004,01-01 -- 12-31,64548.62886,64078.13422,0,46,5.497394204,19.25958993,3,10,13,16,23,26,27,32
OTTO - Support to Nasaru Conservancy,gpw_cultiv.grassland_rf.savgol_p_30m_20040101_20041231_go_epsg.4326_v1,unknown,band_1,2004,01-01 -- 12-31,69697.25079,69570.44489,1,43,4.4482096,17.54985641,9,11,12,15,20,23,26,31
Land for Life,gpw_cultiv.grassland_rf.savgol_p_30m_20040101_20041231_go_epsg.4326_v1,unknown,band_1,2004,01-01 -- 12-31,886805.3359,838901.7978,0,61,7.220674205,17.06602568,4,6,8,11,22,26,29,35
Pachyderm,gpw_cultiv.grassland_rf.savgol_p_30m_20040101_20041231_go_epsg.4326_v1,unknown,band_1,2004,01-01 -- 12-31,807810.2672,784352.5145,0,69,8.900122608,29.30138655,6,14,18,24,35,40,44,50
MRC/MWCP,gpw_cultiv.grassland_rf.savgol_p_30m_20040101_20041231_go_epsg.4326_v1,unknown,band_1,2004,01-01 -- 12-31,428082.6303,392445.3438,0,52,5.913651476,20.45018206,5,10,13,17,24,27,30,35
Harmony in Habitat (HIH) - Tsavo,gpw_cultiv.grassland_rf.savgol_p_30m_20040101_20041231_go_epsg.4326_v1,unknown,band_1,2004,01-01 -- 12-31,660185.7824,656951.2601,0,68,8.987048135,33.51615924,13,19,22,27,40,45,48,52
"BMZ II (Olgulului GR, Kimana GR, Kimana - Nolturesh",gpw_cultiv.grassland_rf.savgol_p_30m_20040101_20041231_go_epsg.4326_v1,unknown,band_1,2004,01-01 -- 12-31,308640.3885,307108.4195,0,40,4.961616642,16.48694616,5,8,10,13,20,23,25,28
Harmony in Habitat (HIH) - Mau,gpw_cultiv.grassland_rf.savgol_p_30m_20040101_20041231_go_epsg.4326_v1,unknown,band_1,2004,01-01 -- 12-31,168550.7956,107679.7465,0,70,11.46481182,15.51993916,0,1,1,6,24,31,36,46
BMZ II (TZ),gpw_cultiv.grassland_rf.savgol_p_30m_20040101_20041231_go_epsg.4326_v1,unknown,band_1,2004,01-01 -- 12-31,254278.8993,222091.1866,0,64,9.823237675,20.01658346,1,5,7,13,27,33,37,44
REDAA,gpw_cultiv.grassland_rf.savgol_p_30m_20040101_20041231_go_epsg.4326_v1,unknown,band_1,2004,01-01 -- 12-31,99249.12992,98358.40677,2,40,5.146735349,19.24351023,10,12,13,15,23,26,28,32
IWT and Darwin innovation project,gpw_gpp.daily.grass_lue.model_m_30m_s_20001101_20001231_go_epsg.4326_v1,unknown,band_1,2000,11-01 -- 12-31,96800.3271,67241.33532,0,91,11.54596178,19.94708651,3,5,7,12,26,36,42,55
FLR - Amboseli,gpw_gpp.daily.grass_lue.model_m_30m_s_20001101_20001231_go_epsg.4326_v1,unknown,band_1,2000,11-01 -- 12-31,25138.82358,1166.79325,4,88,18.16270488,37.55383602,8.84,13,17,23,50,66,70,76
Siana Dispersal Area - More Space 4 Wildlife,gpw_gpp.daily.grass_lue.model_m_30m_s_20001101_20001231_go_epsg.4326_v1,unknown,band_1,2000,11-01 -- 12-31,64548.62886,27830.62738,13,80,7.014460551,45.84513355,31,35,37,41,50,55,58,64
OTTO - Support to Nasaru Conservancy,gpw_gpp.daily.grass_lue.model_m_30m_s_20001101_20001231_go_epsg.4326_v1,unknown,band_1,2000,11-01 -- 12-31,69697.25079,28419.82066,0,78,12.03757327,34.53142007,13,18,21,27,41,54,58,65
Land for Life,gpw_gpp.daily.grass_lue.model_m_30m_s_20001101_20001231_go_epsg.4326_v1,unknown,band_1,2000,11-01 -- 12-31,886805.3359,541362.5385,0,95,13.27504242,25.31877729,3,6,8,15,34,43,48,59
Pachyderm,gpw_gpp.daily.grass_lue.model_m_30m_s_20001101_20001231_go_epsg.4326_v1,unknown,band_1,2000,11-01 -- 12-31,807810.2672,379305.1105,0,99,17.89450955,35.16296538,3,7,10,22,49,59,64,76
MRC/MWCP,gpw_gpp.daily.grass_lue.model_m_30m_s_20001101_20001231_go_epsg.4326_v1,unknown,band_1,2000,11-01 -- 12-31,428082.6303,16116.02699,4,94,14.05151046,47.04187662,22,28,30,36,56,68,74,81
Harmony in Habitat (HIH) - Tsavo,gpw_gpp.daily.grass_lue.model_m_30m_s_20001101_20001231_go_epsg.4326_v1,unknown,band_1,2000,11-01 -- 12-31,660185.7824,516380.4992,0,84,11.08019868,36.0884166,13,19,22,28,44,51,55,62
"BMZ II (Olgulului GR, Kimana GR, Kimana - Nolturesh",gpw_gpp.daily.grass_lue.model_m_30m_s_20001101_20001231_go_epsg.4326_v1,unknown,band_1,2000,11-01 -- 12-31,308640.3885,201605.0568,0,88,12.09314047,23.64709371,3,7,10,15,30,41,48,58
Harmony in Habitat (HIH) - Mau,gpw_gpp.daily.grass_lue.model_m_30m_s_20001101_20001231_go_epsg.4326_v1,unknown,band_1,2000,11-01 -- 12-31,168550.7956,9061.971041,20,102,9.72203778,74.54585353,45,58,63,69,82,86,89,93
BMZ II (TZ),gpw_gpp.daily.grass_lue.model_m_30m_s_20001101_20001231_go_epsg.4326_v1,unknown,band_1,2000,11-01 -- 12-31,254278.8993,56943.89464,0,95,17.92623556,37.03107234,2,8,14,24,50,62,68,76
REDAA,gpw_gpp.daily.grass_lue.model_m_30m_s_20001101_20001231_go_epsg.4326_v1,unknown,band_1,2000,11-01 -- 12-31,99249.12992,95948.34138,0,61,7.02878443,14.24320887,2,4,5,9,19,23,27,34
IWT and Darwin innovation project,gpw_gpp.daily.grass_lue.model_m_30m_s_20130301_20130430_go_epsg.4326_v1,unknown,band_1,2013,03-01 -- 04-30,96800.3271,67968.34469,0,92,13.08951753,23.09658659,0,6,10,13,33,42,47,56
FLR - Amboseli,gpw_gpp.daily.grass_lue.model_m_30m_s_20130301_20130430_go_epsg.4326_v1,unknown,band_1,2013,03-01 -- 04-30,25138.82358,1434.037697,0,83,10.87307702,29.98338959,9,14,16,21,39,44,47,53
Siana Dispersal Area - More Space 4 Wildlife,gpw_gpp.daily.grass_lue.model_m_30m_s_20130301_20130430_go_epsg.4326_v1,unknown,band_1,2013,03-01 -- 04-30,64548.62886,30154.67849,12,81,7.966860306,48.77937599,31,37,39,43,54,60,62,68
OTTO - Support to Nasaru Conservancy,gpw_gpp.daily.grass_lue.model_m_30m_s_20130301_20130430_go_epsg.4326_v1,unknown,band_1,2013,03-01 -- 04-30,69697.25079,31556.68623,0,74,9.33263461,22.09825679,1,8,11,16,28,34,38,47
Land for Life,gpw_gpp.daily.grass_lue.model_m_30m_s_20130301_20130430_go_epsg.4326_v1,unknown,band_1,2013,03-01 -- 04-30,886805.3359,556202.8117,0,96,14.46240685,31.17313239,2,9,12,21,40,50,56,67
Pachyderm,gpw_gpp.daily.grass_lue.model_m_30m_s_20130301_20130430_go_epsg.4326_v1,unknown,band_1,2013,03-01 -- 04-30,807810.2672,329105.4173,0,100,12.98001718,24.27724188,2,6,9,15,32,40,46,66
MRC/MWCP,gpw_gpp.daily.grass_lue.model_m_30m_s_20130301_20130430_go_epsg.4326_v1,unknown,band_1,2013,03-01 -- 04-30,428082.6303,21020.5537,0,91,12.02216419,47.49688123,4,27,33,41,55,61,66,74
Harmony in Habitat (HIH) - Tsavo,gpw_gpp.daily.grass_lue.model_m_30m_s_20130301_20130430_go_epsg.4326_v1,unknown,band_1,2013,03-01 -- 04-30,660185.7824,533845.6572,0,87,9.306783798,22.85399306,5,9,11,16,29,35,39,46
"BMZ II (Olgulului GR, Kimana GR, Kimana - Nolturesh",gpw_gpp.daily.grass_lue.model_m_30m_s_20130301_20130430_go_epsg.4326_v1,unknown,band_1,2013,03-01 -- 04-30,308640.3885,202582.625,0,72,10.58159203,21.72211618,0,5,9,15,28,36,41,49
Harmony in Habitat (HIH) - Mau,gpw_gpp.daily.grass_lue.model_m_30m_s_20130301_20130430_go_epsg.4326_v1,unknown,band_1,2013,03-01 -- 04-30,168550.7956,8083.069849,13,104,13.05645566,67.67916897,33,45,50,59,77,84,87,92
BMZ II (TZ),gpw_gpp.daily.grass_lue.model_m_30m_s_20130301_20130430_go_epsg.4326_v1,unknown,band_1,2013,03-01 -- 04-30,254278.8993,46271.55995,0,101,15.5561794,37.18327957,0,13,18,26,48,58,63,74
REDAA,gpw_gpp.daily.grass_lue.model_m_30m_s_20130301_20130430_go_epsg.4326_v1,unknown,band_1,2013,03-01 -- 04-30,99249.12992,95504.67113,0,69,6.753279622,15.80663908,2,6,8,11,20,25,28,36
IWT and Darwin innovation project,gpw_gpp.grass_lue.model_m_30m_s_20100101_20101231_go_epsg.4326_v1,unknown,band_1,2010,01-01 -- 12-31,96800.3271,69617.92825,122,2754,325.3640498,859.7699097,191,302,418,624,1096,1289,1387,1541
FLR - Amboseli,gpw_gpp.grass_lue.model_m_30m_s_20100101_20101231_go_epsg.4326_v1,unknown,band_1,2010,01-01 -- 12-31,25138.82358,1436.112338,334,2591,312.1090107,965.6221509,428.89,522,593,744,1218,1415,1495,1650
Siana Dispersal Area - More Space 4 Wildlife,gpw_gpp.grass_lue.model_m_30m_s_20100101_20101231_go_epsg.4326_v1,unknown,band_1,2010,01-01 -- 12-31,64548.62886,30585.65077,532,2530,254.9714191,1466.354258,997,1097,1149,1267,1653,1818,1911,2069
OTTO - Support to Nasaru Conservancy,gpw_gpp.grass_lue.model_m_30m_s_20100101_20101231_go_epsg.4326_v1,unknown,band_1,2010,01-01 -- 12-31,69697.25079,31849.10981,274,1758,173.666673,811.8383626,472,541,588,678,929,1037,1103,1232
Land for Life,gpw_gpp.grass_lue.model_m_30m_s_20100101_20101231_go_epsg.4326_v1,unknown,band_1,2010,01-01 -- 12-31,886805.3359,566046.7412,19,3243,424.838235,837.4617301,135,207,272,497,1114,1399,1589,1925
Pachyderm,gpw_gpp.grass_lue.model_m_30m_s_20100101_20101231_go_epsg.4326_v1,unknown,band_1,2010,01-01 -- 12-31,807810.2672,323079.7111,228,3139,333.5316663,1088.990688,444,580,680,877,1251,1502,1708,2099
MRC/MWCP,gpw_gpp.grass_lue.model_m_30m_s_20100101_20101231_go_epsg.4326_v1,unknown,band_1,2010,01-01 -- 12-31,428082.6303,16577.28028,276,2987,346.5752568,1616.322041,882,1085,1198,1375,1857,2081,2217,2444
Harmony in Habitat (HIH) - Tsavo,gpw_gpp.grass_lue.model_m_30m_s_20100101_20101231_go_epsg.4326_v1,unknown,band_1,2010,01-01 -- 12-31,660185.7824,526372.893,190,2495,200.5291171,962.360561,600,688,739,828,1062,1223,1341,1601
"BMZ II (Olgulului GR, Kimana GR, Kimana - Nolturesh",gpw_gpp.grass_lue.model_m_30m_s_20100101_20101231_go_epsg.4326_v1,unknown,band_1,2010,01-01 -- 12-31,308640.3885,200536.1945,121,2425,230.773464,700.392683,270,358,414,532,850,1018,1108,1292
Harmony in Habitat (HIH) - Mau,gpw_gpp.grass_lue.model_m_30m_s_20100101_20101231_go_epsg.4326_v1,unknown,band_1,2010,01-01 -- 12-31,168550.7956,6853.769964,1008,3378,249.4399847,2627.117864,1904.93,2172,2304,2486,2803,2924,2990,3100
BMZ II (TZ),gpw_gpp.grass_lue.model_m_30m_s_20100101_20101231_go_epsg.4326_v1,unknown,band_1,2010,01-01 -- 12-31,254278.8993,46430.04628,44,2944,400.6062424,1240.044229,426,619,747,934,1544,1780,1905,2150.33
REDAA,gpw_gpp.grass_lue.model_m_30m_s_20100101_20101231_go_epsg.4326_v1,unknown,band_1,2010,01-01 -- 12-31,99249.12992,95429.36859,107,1619,181.1548755,622.1929813,306,368,409,490,731,873,966,1114
IWT and Darwin innovation project,gpw_gpp.daily.grass_lue.model_m_30m_s_20050701_20050831_go_epsg.4326_v1,unknown,band_1,2005,07-01 -- 08-31,96800.3271,71109.21573,2,60,5.977288971,18.74736272,7,9,11,14,23,26,28,31
FLR - Amboseli,gpw_gpp.daily.grass_lue.model_m_30m_s_20050701_20050831_go_epsg.4326_v1,unknown,band_1,2005,07-01 -- 08-31,25138.82358,1697.824409,8,48,3.885533492,19.37477371,12,13,14,16,22,24,25,27
Siana Dispersal Area - More Space 4 Wildlife,gpw_gpp.daily.grass_lue.model_m_30m_s_20050701_20050831_go_epsg.4326_v1,unknown,band_1,2005,07-01 -- 08-31,64548.62886,28664.73255,23,78,8.755812761,46.57823047,31,33,35,39,53,58,61,66
OTTO - Support to Nasaru Conservancy,gpw_gpp.daily.grass_lue.model_m_30m_s_20050701_20050831_go_epsg.4326_v1,unknown,band_1,2005,07-01 -- 08-31,69697.25079,30481.23778,6,40,3.312509356,18.9238114,12,14,15,17,21,23,25,27
Land for Life,gpw_gpp.daily.grass_lue.model_m_30m_s_20050701_20050831_go_epsg.4326_v1,unknown,band_1,2005,07-01 -- 08-31,886805.3359,563036.9882,0,83,9.88661908,22.2913406,7,9,11,15,27,35,41,53
Pachyderm,gpw_gpp.daily.grass_lue.model_m_30m_s_20050701_20050831_go_epsg.4326_v1,unknown,band_1,2005,07-01 -- 08-31,807810.2672,378587.4449,9,93,7.631707903,26.39498963,15,17,19,22,28,37,43,53
MRC/MWCP,gpw_gpp.daily.grass_lue.model_m_30m_s_20050701_20050831_go_epsg.4326_v1,unknown,band_1,2005,07-01 -- 08-31,428082.6303,11735.81254,14,86,10.23591524,40.91362239,22,26,29,34,47,55,60,68
Harmony in Habitat (HIH) - Tsavo,gpw_gpp.daily.grass_lue.model_m_30m_s_20050701_20050831_go_epsg.4326_v1,unknown,band_1,2005,07-01 -- 08-31,660185.7824,510888.9735,9,72,4.211398857,25.6114565,18,20,21,23,28,31,33,40
"BMZ II (Olgulului GR, Kimana GR, Kimana - Nolturesh",gpw_gpp.daily.grass_lue.model_m_30m_s_20050701_20050831_go_epsg.4326_v1,unknown,band_1,2005,07-01 -- 08-31,308640.3885,198729.6799,0,47,4.242191906,17.73514897,9,11,12,15,21,23,25,29
Harmony in Habitat (HIH) - Mau,gpw_gpp.daily.grass_lue.model_m_30m_s_20050701_20050831_go_epsg.4326_v1,unknown,band_1,2005,07-01 -- 08-31,168550.7956,9306.830962,23,99,9.225029848,71.75883189,41,54,60,68,78,82,84,88
BMZ II (TZ),gpw_gpp.daily.grass_lue.model_m_30m_s_20050701_20050831_go_epsg.4326_v1,unknown,band_1,2005,07-01 -- 08-31,254278.8993,45376.8493,0,110,13.77628853,31.97745164,17,19,20,23,35,57,63,71
REDAA,gpw_gpp.daily.grass_lue.model_m_30m_s_20050701_20050831_go_epsg.4326_v1,unknown,band_1,2005,07-01 -- 08-31,99249.12992,95850.29441,0,59,4.161377288,17.30706535,10,11,12,14,20,23,25,28
IWT and Darwin innovation project,gpw_gpp.daily.grass_lue.model_m_30m_s_20160901_20161031_go_epsg.4326_v1,unknown,band_1,2016,09-01 -- 10-31,96800.3271,65187.86621,1,64,6.23889719,12.24090093,2,4,4,6,18,21,22,24
FLR - Amboseli,gpw_gpp.daily.grass_lue.model_m_30m_s_20160901_20161031_go_epsg.4326_v1,unknown,band_1,2016,09-01 -- 10-31,25138.82358,1617.912326,3,40,5.335919124,13.64665653,7,7,8,9,19,21,22,24
Siana Dispersal Area - More Space 4 Wildlife,gpw_gpp.daily.grass_lue.model_m_30m_s_20160901_20161031_go_epsg.4326_v1,unknown,band_1,2016,09-01 -- 10-31,64548.62886,30025.32528,8,63,9.418009027,23.1139556,9,10,12,15,29,37,41,47
OTTO - Support to Nasaru Conservancy,gpw_gpp.daily.grass_lue.model_m_30m_s_20160901_20161031_go_epsg.4326_v1,unknown,band_1,2016,09-01 -- 10-31,69697.25079,30911.8784,3,34,3.871021791,12.15168682,6,7,8,9,14,18,20,23
Land for Life,gpw_gpp.daily.grass_lue.model_m_30m_s_20160901_20161031_go_epsg.4326_v1,unknown,band_1,2016,09-01 -- 10-31,886805.3359,572908.6705,0,89,9.181077601,14.94096828,0,1,2,8,21,26,30,40
Pachyderm,gpw_gpp.daily.grass_lue.model_m_30m_s_20160901_20161031_go_epsg.4326_v1,unknown,band_1,2016,09-01 -- 10-31,807810.2672,331201.0315,5,97,7.123914011,21.76226058,10,12,14,18,24,29,36,48
MRC/MWCP,gpw_gpp.daily.grass_lue.model_m_30m_s_20160901_20161031_go_epsg.4326_v1,unknown,band_1,2016,09-01 -- 10-31,428082.6303,17371.20809,6,91,11.01839451,38.62234273,19,24,26,31,44,54,60,69
Harmony in Habitat (HIH) - Tsavo,gpw_gpp.daily.grass_lue.model_m_30m_s_20160901_20161031_go_epsg.4326_v1,unknown,band_1,2016,09-01 -- 10-31,660185.7824,539396.5947,4,74,4.827229194,19.28588969,10,12,13,16,22,26,28,32
"BMZ II (Olgulului GR, Kimana GR, Kimana - Nolturesh",gpw_gpp.daily.grass_lue.model_m_30m_s_20160901_20161031_go_epsg.4326_v1,unknown,band_1,2016,09-01 -- 10-31,308640.3885,199552.0944,2,49,4.330443593,11.92906177,4,6,7,9,15,18,20,23
Harmony in Habitat (HIH) - Mau,gpw_gpp.daily.grass_lue.model_m_30m_s_20160901_20161031_go_epsg.4326_v1,unknown,band_1,2016,09-01 -- 10-31,168550.7956,8267.387905,16,107,10.88740366,79.36651158,45,59,65,74,87,91,94,98
BMZ II (TZ),gpw_gpp.daily.grass_lue.model_m_30m_s_20160901_20161031_go_epsg.4326_v1,unknown,band_1,2016,09-01 -- 10-31,254278.8993,41935.83759,0,121,15.16828808,29.12317011,12,14,16,19,32,55,64,75
REDAA,gpw_gpp.daily.grass_lue.model_m_30m_s_20160901_20161031_go_epsg.4326_v1,unknown,band_1,2016,09-01 -- 10-31,99249.12992,95060.53984,3,41,3.860205208,10.94292292,5,6,7,8,13,16,18,23
IWT and Darwin innovation project,gpw_grassland_rf.savgol.bthr_c_30m_20000101_20001231_go_epsg.4326_v1,unknown,band_1,2000,01-01 -- 12-31,96800.3271,95964.00694,0,2,0.86085547,1.508649655,0,0,0,2,2,2,2,2
FLR - Amboseli,gpw_grassland_rf.savgol.bthr_c_30m_20000101_20001231_go_epsg.4326_v1,unknown,band_1,2000,01-01 -- 12-31,25138.82358,24453.17423,0,2,0.313086099,0.050546598,0,0,0,0,0,0,0,2
Siana Dispersal Area - More Space 4 Wildlife,gpw_grassland_rf.savgol.bthr_c_30m_20000101_20001231_go_epsg.4326_v1,unknown,band_1,2000,01-01 -- 12-31,64548.62886,64078.13422,0,2,0.981135018,0.81726871,0,0,0,0,2,2,2,2
OTTO - Support to Nasaru Conservancy,gpw_grassland_rf.savgol.bthr_c_30m_20000101_20001231_go_epsg.4326_v1,unknown,band_1,2000,01-01 -- 12-31,69697.25079,69570.44489,0,2,0.984946593,0.842967308,0,0,0,0,2,2,2,2
Land for Life,gpw_grassland_rf.savgol.bthr_c_30m_20000101_20001231_go_epsg.4326_v1,unknown,band_1,2000,01-01 -- 12-31,886805.3359,838901.7978,0,2,0.942728909,1.308891073,0,0,0,0,2,2,2,2
Pachyderm,gpw_grassland_rf.savgol.bthr_c_30m_20000101_20001231_go_epsg.4326_v1,unknown,band_1,2000,01-01 -- 12-31,807810.2672,784352.5145,0,2,0.685556155,0.627196327,0,0,0,0,1,2,2,2
MRC/MWCP,gpw_grassland_rf.savgol.bthr_c_30m_20000101_20001231_go_epsg.4326_v1,unknown,band_1,2000,01-01 -- 12-31,428082.6303,392445.3438,0,2,0.377321877,0.092167489,0,0,0,0,0,0,1,2
Harmony in Habitat (HIH) - Tsavo,gpw_grassland_rf.savgol.bthr_c_30m_20000101_20001231_go_epsg.4326_v1,unknown,band_1,2000,01-01 -- 12-31,660185.7824,656951.2601,0,2,0.791508918,1.246561283,0,0,0,1,2,2,2,2
"BMZ II (Olgulului GR, Kimana GR, Kimana - Nolturesh",gpw_grassland_rf.savgol.bthr_c_30m_20000101_20001231_go_epsg.4326_v1,unknown,band_1,2000,01-01 -- 12-31,308640.3885,307108.4195,0,2,0.970416838,1.240444333,0,0,0,0,2,2,2,2
Harmony in Habitat (HIH) - Mau,gpw_grassland_rf.savgol.bthr_c_30m_20000101_20001231_go_epsg.4326_v1,unknown,band_1,2000,01-01 -- 12-31,168550.7956,107679.7465,0,2,0.305114634,0.093563316,0,0,0,0,0,0,1,1
BMZ II (TZ),gpw_grassland_rf.savgol.bthr_c_30m_20000101_20001231_go_epsg.4326_v1,unknown,band_1,2000,01-01 -- 12-31,254278.8993,222091.1866,0,2,0.61628696,0.344294358,0,0,0,0,1,1,2,2
REDAA,gpw_grassland_rf.savgol.bthr_c_30m_20000101_20001231_go_epsg.4326_v1,unknown,band_1,2000,01-01 -- 12-31,99249.12992,98358.40677,0,2,0.324690021,1.94578662,0,2,2,2,2,2,2,2
IWT and Darwin innovation project,gpw_livestock.systems_grassland.cropland.rules_c_1km_20160101_20161231_go_epsg.4326_v1,unknown,band_1,2016,01-01 -- 12-31,96800.3271,86240.87186,1,4,1.051046972,1.466240876,1,1,1,1,1,4,4,4
FLR - Amboseli,gpw_livestock.systems_grassland.cropland.rules_c_1km_20160101_20161231_go_epsg.4326_v1,unknown,band_1,2016,01-01 -- 12-31,25138.82358,17860.98741,1,4,1.238849234,3.286343612,1,1,1,3,4,4,4,4
